Categoria,Producto,Marca,Cantidad,Unidad,Precio,Establecimiento,Direccion,De partamento,Municipio,Fecha Sondeo
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.30,"Libreria Gamaliel, Calle Libertad Poniente","Calle Libertad Poniente, Local #2, frente al Parque Menendez. Santa Ana.",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.75,Librería Jacky,"1a.Calle Poniente N° 15, Mejicanos, San Salvador",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,"Libreria Karlita Santa Ana, 16 av Sur",Dieciseis Avenida Sur entre quince y Diecisiete calle poniente Numero 30,Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,"Librería Karlita, Santa Ana","10a Avenida Sur entre 27 y 29 Calle Poniente, Santa Ana",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,"Libreria Karlita, Santa Ana 2a av sur","2a. Av. Sur entre 23 y 25 Calle Poniente, Santa Ana.",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería La Bendición,"Av. Delgado, Barrio El Centro N° 19, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería La Económica,2da Calle Poniente,La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.40,Librería La Ibérica Sucursal Universidad Nacional,"Calle San Antonio Abad, N° 1824",San Salvador,San Salvador,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.75,Librería La Página,"1a Calle Poniente, Local 15-b, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería La Popular,"Primera Avenida Sur, N° 2-4, frente a Panadería Tecleña, Santa Tecla",La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.10,Librería Las Nuevas Epocas,Avenida Morazán Norte,Sonsonate,Sonsonate,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,"Librería Líder, Mejicanos","1a Avenida Norte N° 9, Mejicanos",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.90,Librería Marcela Centro Comercial La Joya,"Centro Comercial La Joya, Carretera al Puerto de La Libertad, locales 30 y 31",La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.81,Librería Marcela Mejicanos,"29 Av. Sur y Centro Comercial Zacamil 2, Local N° 23",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.85,"Librería Maryori				","2a. Avenida Norte, Barrio El Centro, La Unión",La Union,La Union,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería Monseñor Romero,"Avenida Quirino Chávez N°5 Barrio El Centro, Apopa",San Salvador,Apopa,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.25,"Librería Nuevo Mundo, Centro Comercial Zacamil","Centro Comercial Zacamil, Local N° 2, Mejicanos",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.75,"Librería Pamela, Mejicanos",Avenida Castro Moran N° 18,San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.10,Librería Papelería y Equipos Informáticos Camelot,"Calle Ciriaco López, Local N° 10 Centro Comercial Cámelot, planta baja, Santa Tecla",La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.90,Libreria R y R,"2a Calle Poniente entre Avenida Independencia y 2a Avenida Norte #3, Lado norte",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.55,Librería Tecleña,2a Calle Poniente y 4a Avenida Sur Santa Tecla,La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.80,"Librería Terrazas, Centro Comercial Las Terrazas","Centro Comercial Las Terrazas, Local N° 10",San Salvador,San Salvador,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería y Miscelanea El Estudiante,Avenida Morazan No. 2-6 Barrio El Centro por la Despensa de Don Juan ,Sonsonate,Sonsonate,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.25,Librería Y Papelería Arco Iris ,Final 25 Calle Oriente entre Avenida Independencia y Tercera Avenida Sur numero 3,Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.45,Libreria y Papeleria El Abaco San Luis,"C.C.San Luis, local 4B, Av.Izalco",San Salvador,San Salvador,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.45,"Librería y Papelería El Abaco, Metrópolis","Centro Comercial Metrópolis Local N° 5, Mejicanos",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Libreria y Papeleria El Angel,1a avenida norte y Calle Joaquin Rodezno # 1 barrio El Centro,Morazan,San Francisco Gotera,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.25,Librería y Papelería El Portal,"Centro Comercial Argoz N° 2, 2a. Calle Oriente, frente a Parque San Martin, Santa Tecla",La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.75,Librería y Papelería Getsemani,"3a. Avenida Norte, Local B Barrio El centro, Sonsonate",Sonsonate,Sonsonate,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.80,Libreria y Papelería La Ibérica Sucursal 29 Calle Oriente Numero 410,29 Calle Oriente Numero 410,San Salvador,San Salvador,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.80,Librería y papelería La Ibérica Sucursal Guadalupe,"Avenida Albert Einstein y Calle del Cantábrico, Jardines de Guadalupe",La Libertad,Antiguo Cuscatlan,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.75,"Librería y Papelería La Princesa				","1a. Calle Poniente Nº 3-2, Barrio San Carlos La Unión	
",La Union,La Union,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.85,Librería Y Papelería Latino América Santa Ana,Centro Comercial Metrocentro Local Numero 267C,Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.33,Librería y Papelería Pinel,Av. Morazán Bo. El Calvario No. 4,Morazan,San Francisco Gotera,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.85,Librería y Papelería San José,"Avenida Delgado N° 17, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,"Librería y Papelería Universal, Santa Tecla","Segunda Calle Poniente N° 1-4, Santa Tecla",La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería y Piñatería Micky Mouse,"Avenida 3 de Mayo y Calle Urrutia L-1, Quezaltepeque, La Libertad",La Libertad,Quezaltepeque,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.90,"Librería y Variedades Bethel		","Avenida Morazán, Barrio El Calvario. N° 20, San Francisco Gotera ",Morazan,San Francisco Gotera,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.90,Librería y Variedades Iris,"1a. Calle Oriente, N° 38 C Barrio El Calvario",Usulutan,Usulutan,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.80,Librería y Variedades Javier,"Av. Jose Matías Delgado Sur entre 1a y 3a calle poniente #9-A, Santa Ana",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$2.58,Librería y Variedades Josué,"6a. Avenida Norte Local N° 9 Mercado Municipal N° 1, Usulután",Usulutan,Usulutan,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.00,Librería y Variedades La Heróica,"10 a. Av. Sur entre 17 y 19 calle poniente, Barrio San Sebastián Santa Ana",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.58,Librería y Variedades Montenegro,"1a Calle Oriente N° 10B  y 2a Avenida Sur, costado sur de ex Cine Centenario",Usulutan,Usulutan,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.58,"Office Express Delivery, 6a. Avenida sur",6a. Avenida sur y 11 Calle poniente N.2113,Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.90,"Papelera y Librerías Latino América, Unicentro","Centro Comercial Unicentro Metrópolis, local 7, Mejicanos, San Salvador",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.50,Papelería y Útiles de Oficina María Auxiliadora,"4a Avenida Sur entre 13 y 15 Calle Poniente, # 2",Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.50,Super Selectos San Sebastian Salitrillo,Canton Los Amates San Sebastian silitrillo Santa ana,Santa Ana,Santa Ana,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$1.56,Súper Selectos Santa Tecla,segunda calle oriente y tercera avenida norte #2-9. Santa tecla. La libertad,La Libertad,Santa Tecla,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.55,Walmart Constitución,"entre prolongacion blvd constitucion, residencial la gloria, san salvador",San Salvador,Mejicanos,6/1/2018
Misceláneos,Frasco de goma con brillantina (mínimo 60 ml),Sin Marca,1,Unidades,$0.60,Walmart San Miguel ,"Carretera al Delirio Avenida la Pista Boulevard Campos Eliseo
",San Miguel,San Miguel,6/1/2018
